trail_id,backpacking,beach,bike_touring,bird_watching,camping,cave,city_walk,cross_country_skiing,dog_friendly,easy,elevationm,event,fishing,forest,hard,hiking,historic_site,horse_back_riding,hot_springs,kid_friendly,lake,length_km,loop,medium,mountain_biking,name,nature_trips,ohv_off_road_driving,out_and_back,paddle_sports,partially_paved,paved,point_to_point,pub_walk,rails_trails,river,road_biking,rock_climbing,running,scenic_driving,skiing,snowshoeing,stroller_friendly,via_ferrata,views,walking,waterfalls,wheelchair_friendly,wildflowers,wildlife
1049,0,0,0,0,0,0,0,0,1,1,260,0,0,1,0,1,1,0,0,1,0,47,1,0,0,Monte Soratte (Falesia del Drago),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
1062,0,0,0,0,0,0,0,0,0,0,700,0,0,0,0,1,0,0,0,0,0,301,1,1,1,Via Prato della Corte,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1069,1,0,0,0,0,0,0,0,0,0,693,0,0,1,0,1,0,0,0,0,0,146,1,1,1,Camerata Vecchia - Rifugio Camposecco,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1077,0,0,0,0,0,0,0,0,0,1,287,0,0,1,0,1,0,0,0,1,0,69,1,0,0,Campo dell'Osso - Le Vedute - Monte Autore - Monna dell'Orso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1086,1,0,0,1,0,0,0,0,0,0,1121,0,0,1,1,1,0,0,0,0,0,257,1,0,1,Rifugio di Camposecco - Monte Autore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1087,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,1,0,0,0,1,1,58,1,1,0,Via Del Casino Algardi,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
1094,0,0,0,1,0,0,0,0,0,0,661,0,0,0,1,1,0,0,0,0,0,182,1,0,0,"Monte Cavo, Colle Iano and Rome Viewpoint Loop",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1101,1,0,0,0,0,0,0,0,0,0,145,0,0,0,0,1,1,0,0,0,0,175,0,1,1,La Via Francigena: Montefiascone to Viterbo,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1104,1,0,0,0,0,0,0,0,0,0,206,0,0,1,0,1,1,0,0,0,0,74,0,1,0,Valle del Treja: Cascate di Monte Gelato - Calcata Vecchia,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1
1113,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,1,0,0,0,0,0,40,1,1,0,Cascata Parco del Turona,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
1127,0,0,0,0,0,0,0,0,0,0,765,0,0,0,0,1,0,0,0,0,0,169,1,1,0,Monte San Martino - Sprone Maraoni,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1137,0,0,0,0,0,0,0,0,0,1,60,0,0,0,0,1,0,0,0,0,0,55,1,0,0,Nature Trail,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0
1142,0,0,0,0,0,0,0,0,0,0,269,0,0,0,0,1,0,0,0,0,0,80,1,1,1,Maschio delle Faete Loop,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1146,0,0,0,0,0,0,0,0,0,0,609,0,0,0,0,1,0,0,0,0,0,193,1,1,1,Blue Route,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1155,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,1,1,0,0,1,0,126,1,1,1,Villa Pamphili Loop,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
